"host","source","subdomain_listed","api_host_listed","api_row_count","valid_hostname_syntax","dns_resolves","address_count","sample_addresses","verification_note"
"courier-cf.mena.meso1.aws.indriverapp.com","api_methods.csv","False","True","16","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.mena-eg.meso1.aws.indriverapp.com","api_methods.csv","False","True","18","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.sa.apso1.aws.indriverapp.com","api_methods.csv","False","True","17","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.sa-in.apso1.aws.indriverapp.com","api_methods.csv","False","True","17","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"courier-cf.sea.apse3.aws.indriverapp.com","api_methods.csv","False","True","18","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"couriers.indrive.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.17;3.164.68.20;3.164.68.43",""
"cr.indrive.com","Subdomains.csv","True","False","0","True","True","1","198.202.211.1",""
"csp.ib.console3.com","Subdomains.csv","True","False","0","True","True","2","172.255.253.76;172.255.253.84",""
"dd-ext.sec.console3.com","Subdomains.csv","True","False","0","True","True","2","188.42.196.187;188.42.196.188",""
"debug.clairvoyance.indrive.tech","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"delivery.indrive.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dev-onboarding-api-6815ddf6.indrive.dev","Subdomains.csv","True","False","0","True","True","1","10.105.158.108",""
"dh-cf.africa.afso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.cis.euce1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.eu.euce1.aws.indriverapp.com","api_methods.csv","False","True","2","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.latam.saea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.latam-br.saea1.aws.indriverapp.com","api_methods.csv","False","True","3","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.latam-co.saea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.latam-mx.usea1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.latam-pe.saea1.aws.indriverapp.com","api_methods.csv","False","True","5","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.mena.meso1.aws.indriverapp.com","api_methods.csv","False","True","3","True","True","4","13.33.235.56;13.33.235.64;13.33.235.65",""
"dh-cf.mena-eg.meso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","True","4","13.33.235.129;13.33.235.52;13.33.235.81",""
"dh-cf.sa.apso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.sa-in.apso1.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dh-cf.sea.apse3.aws.indriverapp.com","api_methods.csv","False","True","4","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"dwh-mon-proxy.indrive.tech","Subdomains.csv","True","False","0","True","True","1","35.228.51.153",""
"dxy.indrive.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"empleo.indrive.com","Subdomains.csv","True","False","0","True","True","4","3.164.68.108;3.164.68.111;3.164.68.124",""
"es-cf.euce1.indriverapp.com","api_methods.csv","False","True","2","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"event-tracker.indrive.dev","Subdomains.csv","True","False","0","True","True","1","10.105.158.108",""
"external.devpl-1.euno1.aws.indrive.dev","Subdomains.csv","True","False","0","True","True","1","10.105.190.150",""
"external.indrive.dev","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"external-sender.eu-east-1.indriverapp.com","api_methods.csv","False","True","2","True","True","4","52.85.154.102;52.85.154.107;52.85.154.72",""
"facechecker-api.eu-east-1.indriverapp.com","api_methods.csv","False","True","6","True","True","4","3.164.206.103;3.164.206.33;3.164.206.64",""
"fch-cf.euce1.indriverapp.com","api_methods.csv","False","True","6","True","True","4","3.174.113.31;3.174.113.43;3.174.113.47",""
"fe-cf.africa.afso1.aws.indriverapp.com","api_methods.csv","False","True",,"True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.cis.euce1.aws.indriverapp.com","api_methods.csv","False","True","2","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.eu.euce1.aws.indriverapp.com","api_methods.csv","False","True",,"True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.latam.saea1.aws.indriverapp.com","api_methods.csv","False","True","3","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.latam-br.saea1.aws.indriverapp.com","api_methods.csv","False","True",,"True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.latam-co.saea1.aws.indriverapp.com","api_methods.csv","False","True",,"True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.latam-mx.usea1.aws.indriverapp.com","api_methods.csv","False","True",,"True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.latam-pe.saea1.aws.indriverapp.com","api_methods.csv","False","True","3","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.mena.meso1.aws.indriverapp.com","api_methods.csv","False","True",,"True","True","4","13.33.235.13;13.33.235.29;13.33.235.58",""
"fe-cf.mena-eg.meso1.aws.indriverapp.com","api_methods.csv","False","True",,"True","True","4","18.165.122.126;18.165.122.35;18.165.122.63",""
"fe-cf.sa.apso1.aws.indriverapp.com","api_methods.csv","False","True","3","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.sa-in.apso1.aws.indriverapp.com","api_methods.csv","False","True",,"True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fe-cf.sea.apse3.aws.indriverapp.com","api_methods.csv","False","True","3","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"fic-cf.indrive.dev","Subdomains.csv","True","False","0","True","True","4","13.33.235.127;13.33.235.38;13.33.235.85",""
"file-storage-front.eu-east-1.indriverapp.com","api_methods.csv","False","True","3","True","True","4","13.33.235.115;13.33.235.127;13.33.235.22",""
